행정구별,행정동별,총인구수,내국인,외국인
노원구,상계9동,19800,19717,83
노원구,상계10동,18274,18213,61
노원구,상계3.4동,27469,27350,119
노원구,상계6.7동,31717,31548,169
노원구,중계2.3동,32780,32661,119
노원구,공릉1동,36867,36166,701
은평구,은평구,471155,467098,4057
은평구,녹번동,36563,36175,388
은평구,불광1동,37826,37570,256
은평구,갈현1동,14820,14653,167
은평구,갈현2동,27817,27554,263
은평구,구산동,31743,31519,224
은평구,대조동,27731,27357,374
은평구,응암1동,33075,32772,303
은평구,응암2동,27782,27581,201
은평구,신사1동,26761,26543,218
은평구,신사2동,19153,18997,156
은평구,증산동,18523,18369,154
은평구,수색동,19225,19120,105
은평구,진관동,54718,54487,231
은평구,불광2동,27073,26838,235
은평구,응암3동,23916,23537,379
은평구,역촌동,44429,44026,403
서대문구,서대문구,321379,307441,13938
서대문구,천연동,16835,16635,200
서대문구,홍제1동,25083,24828,255
서대문구,홍제3동,17908,17748,160
서대문구,홍제2동,13313,13215,98
서대문구,홍은1동,22491,22257,234
서대문구,홍은2동,29508,28692,816
서대문구,남가좌1동,16954,16713,241
서대문구,남가좌2동,30444,29208,1236
서대문구,북가좌1동,17709,17600,109
서대문구,북가좌2동,31111,30768,343
서대문구,충현동,20176,19709,467
서대문구,북아현동,15796,15493,303
서대문구,신촌동,26777,20403,6374
서대문구,연희동,37274,34172,3102
마포구,마포구,375639,364257,11382
마포구,용강동,21690,21290,400
마포구,대흥동,16425,14490,1935
마포구,염리동,17693,16826,867
마포구,신수동,22555,22150,405
마포구,서교동,26369,24096,2273
마포구,합정동,16828,16463,365
마포구,망원1동,19499,19193,306
마포구,망원2동,18232,18016,216
마포구,연남동,15229,14300,929
마포구,성산1동,18971,18610,361
마포구,성산2동,39141,38768,373
마포구,상암동,30487,29749,738
마포구,도화동,20867,20614,253
마포구,서강동,25371,24581,790
마포구,공덕동,37244,36598,646
마포구,아현동,29038,28513,525
양천구,양천구,440591,437401,3190
양천구,목1동,30386,30239,147
양천구,목2동,29213,28999,214
양천구,목3동,21451,21298,153
양천구,목4동,24686,24524,162
양천구,신월1동,19852,19594,258
양천구,신월2동,21068,20898,170
양천구,신월3동,14603,14419,184
양천구,신월4동,17590,17485,105
양천구,신월5동,14233,14101,132
양천구,신월6동,13963,13908,55
양천구,신월7동,18812,18672,140
양천구,신정1동,19819,19715,104
양천구,신정2동,18971,18880,91
양천구,신정3동,50151,49825,326
양천구,신정6동,23933,23911,22
양천구,신정7동,28492,28332,160
양천구,목5동,40715,40608,107
양천구,신정4동,32653,31993,660
강서구,강서구,569978,564339,5639
강서구,염창동,41471,41326,145
강서구,등촌1동,25121,24888,233
강서구,등촌2동,19541,19417,124
강서구,등촌3동,29726,29554,172
강서구,화곡본동,33523,33130,393
강서구,화곡2동,17489,17198,291
강서구,화곡3동,21394,21252,142
강서구,화곡4동,20133,19846,287
강서구,화곡6동,25022,24742,280
강서구,화곡8동,23993,23597,396
강서구,가양1동,34255,33992,263
강서구,가양2동,13599,13520,79
강서구,가양3동,14321,14232,89
강서구,발산1동,36044,35744,300
강서구,공항동,30316,29747,569
강서구,방화1동,42512,42248,264
강서구,방화2동,23036,22759,277
강서구,방화3동,22199,22075,124
강서구,화곡1동,52242,51261,981
강서구,우장산동,44041,43811,230
구로구,구로구,416815,393929,22886
구로구,신도림동,36089,35774,315
구로구,구로1동,20756,20564,192
구로구,구로3동,25049,23333,1716
구로구,구로4동,22670,18825,3845
구로구,구로5동,31767,29235,2532
구로구,고척1동,26614,26301,313
구로구,고척2동,26407,25953,454
구로구,개봉2동,30382,29961,421
구로구,개봉3동,20136,19744,392
구로구,오류1동,23432,22751,681
구로구,수궁동,23141,22796,345
구로구,가리봉동,12478,8826,3652
구로구,구로2동,29104,22589,6515
구로구,개봉1동,34067,33295,772
구로구,오류2동,38189,37587,602
구로구,항동,16534,16395,139
금천구,금천구,242076,228611,13465
금천구,가산동,27166,24711,2455
금천구,독산1동,48208,46464,1744
금천구,독산2동,19278,17943,1335
금천구,독산3동,27090,23813,3277
금천구,독산4동,16212,14665,1547
금천구,시흥1동,33883,32253,1630
금천구,시흥2동,20705,20593,112
금천구,시흥3동,10457,10298,159
금천구,시흥4동,20253,19602,651
금천구,시흥5동,18824,18269,555
영등포구,영등포구,398290,375586,22704
영등포구,여의동,33297,32905,392
영등포구,당산1동,21355,20972,383
영등포구,당산2동,37226,36792,434
영등포구,양평1동,18477,18204,273
영등포구,양평2동,22725,22518,207
영등포구,신길1동,20641,19321,1320
영등포구,신길3동,17083,16141,942
영등포구,신길4동,12980,12264,716
영등포구,신길5동,11021,10064,957
영등포구,신길6동,18507,17864,643
영등포구,신길7동,20044,19860,184
영등포구,대림1동,16259,13870,2389
영등포구,대림2동,17631,11905,5726
영등포구,대림3동,25094,21689,3405
영등포구,영등포본동,22651,20943,1708
영등포구,영등포동,31338,30498,840
영등포구,도림동,19571,17618,1953
영등포구,문래동,32390,32158,232
동작구,동작구,390740,380154,10586
동작구,노량진2동,11198,10354,844
동작구,상도1동,46534,44429,2105
동작구,상도2동,27875,27548,327
동작구,상도3동,24374,23998,376
동작구,상도4동,28194,27839,355
동작구,사당1동,22954,22480,474
동작구,사당3동,24038,23809,229
동작구,사당4동,14073,13891,182
동작구,사당5동,14293,14177,116
동작구,대방동,36054,35734,320
동작구,신대방1동,25123,23365,1758
동작구,신대방2동,22383,22126,257
동작구,흑석동,32366,30133,2233
동작구,노량진1동,32764,32096,668
동작구,사당2동,28517,28175,342
관악구,관악구,500582,485172,15410
관악구,보라매동,24392,23958,434
관악구,청림동,14908,14809,99
관악구,행운동,29595,29069,526
관악구,낙성대동,18054,17482,572
관악구,중앙동,15691,15313,378
관악구,인헌동,25948,25563,385
관악구,남현동,17998,17793,205
관악구,서원동,23770,23045,725
관악구,신원동,18547,17760,787
관악구,서림동,24598,23487,1111
관악구,신사동,24630,22515,2115
관악구,신림동,24037,23131,906
관악구,난향동,14908,14775,133
관악구,조원동,21013,19610,1403
관악구,대학동,27244,24521,2723
관악구,은천동,33014,32529,485
관악구,성현동,28582,28388,194
관악구,청룡동,37042,35989,1053
관악구,난곡동,26037,25574,463
관악구,삼성동,20265,20124,141
관악구,미성동,30309,29737,572
서초구,서초구,410766,406404,4362
서초구,서초1동,20526,20347,179
서초구,서초2동,26451,26005,446
