법정동,행정동,구분코드
상봉동,상봉1동,1
상봉동,상봉2동,1
중화동,중화1동,1
중화동,중화2동,1
묵동,묵1동,1
묵동,묵2동,1
망우동,망우본동,0
망우동,망우3동,0
신내동,신내1동,0
신내동,신내2동,0
성북동,성북동,0
성북동1가,성북동,0
돈암동,동선동,1
돈암동,돈암1~2동,1
동소문동1가,성북동,0
동소문동2가,삼선동,0
동소문동3가,삼선동,0
동소문동4가,성북동,0
동소문동5가,삼선동,0
동소문동6가,동선동,0
동소문동7가,동선동,0
삼선동1가,삼선동,0
삼선동2가,삼선동,0
삼선동3가,삼선동,0
삼선동4가,삼선동,0
삼선동5가,삼선동,0
동선동1가,동선동,0
동선동2가,동선동,0
동선동3가,동선동,0
동선동4가,동선동,0
동선동5가,동선동,0
안암동1가,안암동,0
안암동2가,안암동,0
안암동3가,안암동,0
안암동4가,안암동,0
안암동5가,안암동,0
보문동4가,보문동,0
보문동5가,보문동,0
보문동6가,보문동,0
보문동7가,보문동,0
보문동1가,보문동,0
보문동2가,보문동,0
보문동3가,보문동,0
정릉동,정릉1동,1
정릉동,정릉2동,1
정릉동,정릉3동,1
정릉동,정릉4동,1
길음동,길음1~2동,1
종암동,종암동,0
하월곡동,길음2동,1
하월곡동,월곡1~2동,1
상월곡동,월곡2동,0
장위동,장위1~3동,1
석관동,석관동,1
미아동,"삼양동
미아동
송중동
송천동
삼각산동",1
번동,번1~3동,1
수유동,"수유1~3동
우이동
인수동",1
우이동,우이동,0
쌍문동,쌍문1~4동,1
방학동,방학1~3동,1
창동,창1~5동,1
도봉동,도봉1~2동,1
월계동,월계1~3동,1
공릉동,공릉1~2동,1
하계동,하계1~2동,1
상계동,"상계1~2, 3·4, 5, 6·7, 8~10동",1
중계동,"중계본, 1, 2·3, 4동",1
수색동,수색동,0
녹번동,녹번동,0
불광동,불광1~2동,1
갈현동,갈현1~2동,1
구산동,구산동,0
대조동,대조동,0
응암동,응암1~3동,1
역촌동,역촌동,0
신사동,신사1~2동,1
증산동,증산동,0
진관동,진관동,0
충정로2가,충현동,0
충정로3가,충현동,0
합동,충현동,0
미근동,충현동,0
냉천동,천연동,0
천연동,천연동,0
옥천동,천연동,0
영천동,천연동,0
현저동,천연동,0
북아현동,"북아현동
충현동",1
홍제동,홍제1~3동,1
대현동,신촌동,0
대신동,신촌동,0
신촌동,신촌동,0
봉원동,신촌동,0
창천동,신촌동,0
연희동,연희동,0
홍은동,홍은1~2동,1
북가좌동,북가좌1~2동,1
남가좌동,남가좌1~2동,1
아현동,"아현동
공덕동",1
공덕동,,1
신공덕동,공덕동,0
도화동,"도화동
용강동",1
용강동,용강동,0
토정동,용강동,0
마포동,"도화동
용강동",1
대흥동,"용강동
대흥동",1
염리동,"용강동
염리동",1
노고산동,"대흥동
서교동",1
신수동,"대흥동
신수동",1
현석동,신수동,0
구수동,신수동,0
창전동,서강동,0
상수동,서강동,0
하중동,서강동,0
신정동,신수동,0
당인동,서강동,0
서교동,서교동,0
동교동,서교동,0
합정동,합정동,0
망원동,망원1~2동,1
연남동,연남동,0
성산동,성산1~2동,1
중동,성산2동,0
상암동,상암동,0
신정동,"신정1~4, 6~7동",1
목동,목1~5동,1
신월동,신월1~7동,1
염창동,염창동,0
등촌동,등촌1~3동,1
화곡동,"화곡본, 1~4, 6, 8동
우장산동",1
가양동,가양1~3동,1
마곡동,"가양1동
발산1동
공항동
방화1동",1
내발산동,"발산1동
우장산동",1
외발산동,발산1동,0
공항동,공항동,0
방화동,방화1~3동,1
개화동,방화2동,0
과해동,공항동,0
오곡동,공항동,0
오쇠동,공항동,0
신도림동,신도림동,0
구로동,구로1~5동,1
가리봉동,가리봉동,0
고척동,고척1~2동,1
개봉동,개봉1~3동,1
오류동,오류1~2동,1
궁동,수궁동,0
온수동,수궁동,0
천왕동,오류2동,0
항동,항동,0
가산동,가산동,0
독산동,독산1~4동,1
시흥동,시흥1~5동,1
영등포동,영등포본동,0
영등포동1가,영등포동,0
영등포동2가,영등포동,0
영등포동3가,영등포동,0
영등포동4가,영등포동,0
영등포동5가,영등포동,0
영등포동6가,영등포동,0
영등포동7가,영등포동,0
영등포동8가,영등포동,0
여의도동,여의동,0
당산동1가,당산1동,0
당산동2가,당산1동,0
당산동3가,당산1동,0
당산동4가,당산2동,0
당산동5가,당산2동,0
당산동6가,당산2동,0
당산동,당산2동,0
도림동,도림동,0
문래동1가,문래동,0
문래동2가,문래동,0
문래동3가,문래동,0
문래동4가,문래동,0
문래동5가,문래동,0
문래동6가,문래동,0
양평동1가,양평1동,0
양평동2가,양평1동,0
양평동3가,양평1~2동,1
양평동4가,양평2동,0
양평동5가,양평2동,0
양평동6가,양평2동,0
양화동,양평2동,0
신길동,"영등포본동
신길1, 3~7동",1
대림동,대림1~3동,1
양평동,양평1~2동,1
노량진동,노량진1~2동,1
상도동,상도1~4동,1
상도1동,상도1동,0
본동,노량진1동,0
흑석동,흑석동,0
동작동,사당2동,0
사당동,사당1~5동,1
대방동,대방동,0
신대방동,신대방1~2동,1
봉천동,"보라매동
청림동
성현동
행운동
낙성대동
청룡동
은천동
중앙동
인헌동",1
신림동,"서원동
신원동
서림동
신사동
신림동
난향동
조원동
대학동
삼성동
미성동
난곡동",1
남현동,남현동,0
역삼동,역삼1~2동,1
개포동,"개포1~2, 4동
일원2동",1
청담동,청담동,0
삼성동,삼성1~2동,1
대치동,"대치1~2, 4동
일원2동",1
신사동,"신사동
압구정동",1
논현동,논현1~2동,1
압구정동,"신사동
압구정동",1
세곡동,세곡동,0
자곡동,세곡동,0
율현동,세곡동,0
일원동,"일원본, 1~2동",1
수서동,"일원본동
수서동",1
도곡동,도곡1~2동,1
잠실동,"잠실본, 2~3, 7동",1
신천동,"풍납2동
잠실4, 6동",1
풍납동,풍납1~2동,1
송파동,송파1~2동,1
석촌동,석촌동,0
삼전동,삼전동,0
가락동,"가락본, 1~2동",1
문정동,"문정1~2동
장지동",1
장지동,"문정2동
장지동
위례동",1
방이동,"방이1~2동
오륜동",1
오금동,오금동,
거여동,"거여1~2동
위례동",1
마천동,마천1~2동,1
명일동,명일1~2동,1
고덕동,고덕1~2동,1
상일동,상일1~2동,1
길동,길동,0
둔촌동,둔촌1~2동,1
암사동,암사1~3동,1
성내동,성내1~3동,1
천호동,천호1~3동,1
강일동,강일동,0
