,행정구,사업장명,업태구분명,지번주소,도로명주소,X,Y
1057,관악구,보물섬,룸살롱,서울특별시 관악구 신림동 1429-16번지 ,"서울특별시 관악구 신림로 387, 지하1층 (신림동)",193567.2553,442940.9022
1058,관악구,1.2.3.노래노래,룸살롱,서울특별시 관악구 신림동 538-2 지하1층,"서울특별시 관악구 남부순환로 1471 (신림동,지하1층)",192342.5193,442214.1912
1059,관악구,파파,룸살롱,서울특별시 관악구 남현동 1061-9 ,"서울특별시 관악구 남현1길 68-10, 지하1층 (남현동)",198257.695,441469.8358
1060,관악구,도깨비,룸살롱,서울특별시 관악구 신림동 1421-61 ,서울특별시 관악구 신림로66길 10 (신림동),193762.0981,442570.9191
1061,관악구,파티파티 노래바,룸살롱,서울특별시 관악구 신림동 530-31 지하1층,"서울특별시 관악구 난곡로 323 (신림동,지하1층)",192332.4632,442308.0457
1062,관악구,이브룸,룸살롱,서울특별시 관악구 봉천동 33-3 지하1층,"서울특별시 관악구 관악로 222 (봉천동,지하1층)",195999.2821,442463.7959
1063,관악구,신세계,룸살롱,서울특별시 관악구 신림동 1431-7번지 ,"서울특별시 관악구 신림로 365, 지하1층 (신림동)",193637.4513,442741.1106
1064,관악구,룸쌕쌕클럽,룸살롱,서울특별시 관악구 남현동 1061-12번지 ,서울특별시 관악구 남현1길 68-14 (남현동),198262.4065,441440.4274
1065,관악구,딸기,룸살롱,서울특별시 관악구 신림동 1639-1번지 ,서울특별시 관악구 남부순환로 1588 (신림동),193480.7264,442387.8109
1066,관악구,골든벨노래바,카바레,서울특별시 관악구 신림동 1474-18번지 ,서울특별시 관악구 남부순환로 1472 (신림동),192325.6203,442139.0727
1067,관악구,노래하는탑스타,룸살롱,서울특별시 관악구 남현동 1061-11 가호,"서울특별시 관악구 남현1길 68-14 (남현동,가호)",198260.791,441450.1978
1068,관악구,천사노래밤,룸살롱,서울특별시 관악구 신림동 1431-3,서울특별시 관악구 신림로 369 (신림동),193620.6384,442783.1984
1069,관악구,서울노래바,카바레,서울특별시 관악구 신림동 527-7번지 ,서울특별시 관악구 난곡로66길 6 (신림동),192395.2582,442251.3409
1070,관악구,카톡노래바,룸살롱,서울특별시 관악구 봉천동 859-34,서울특별시 관악구 봉천로 473 (봉천동),195756.6394,442242.841
1071,관악구,주색 노래빠,룸살롱,서울특별시 관악구 신림동 1422-42,서울특별시 관악구 남부순환로 1615 (신림동),193748.0308,442485.6107
1072,관악구,탑노래빠,룸살롱,서울특별시 관악구 봉천동 1673-16번지 ,서울특별시 관악구 남부순환로 1869 (봉천동),196172.4248,441954.7702
1073,관악구,체리노래빠,룸살롱,서울특별시 관악구 신림동 1639-1 신림빌딩 ,"서울특별시 관악구 남부순환로 1588, 신림빌딩 3층 302호 (신림동)",193480.7264,442387.8109
1074,관악구,킹노래빠,룸살롱,서울특별시 관악구 신림동 527-9번지 ,서울특별시 관악구 남부순환로 1481 (신림동),192421.5991,442233.7851
1075,관악구,봉봉,룸살롱,서울특별시 관악구 남현동 1061-16번지 ,"서울특별시 관악구 남현1길 68-22, 지하1층 (남현동)",198268.1352,441400.7539
1076,관악구,삼바,룸살롱,서울특별시 관악구 신림동 1432-176 ,서울특별시 관악구 신림동길 7 (신림동),193559.6798,442789.1301
1077,관악구,비너스,룸살롱,서울특별시 관악구 신림동 1431-12번지 ,"서울특별시 관악구 신림로 363, 지하1층 (신림동)",193646.5517,442708.4322
1078,관악구,유정노래광장,룸살롱,서울특별시 관악구 신림동 537-33번지 지상2층 ,"서울특별시 관악구 난곡로65길 2 (신림동,지상2층)",192323.4714,442261.8951
1079,관악구,열린노래밤,룸살롱,서울특별시 관악구 신림동 1669-11 지하1층,"서울특별시 관악구 조원중앙로 6 (신림동,지하1층)",191494.1045,442029.171
1080,관악구,논개,룸살롱,서울특별시 관악구 신림동 1430-5번지 ,서울특별시 관악구 신림로 381 (신림동),193583.5565,442888.304
1081,관악구,초콜릿,룸살롱,서울특별시 관악구 봉천동 62-19번지 ,서울특별시 관악구 관악로 208-40 (봉천동),195935.2192,442326.2862
1082,관악구,럭키노래빠,룸살롱,서울특별시 관악구 신림동 1639-64 ,"서울특별시 관악구 신림로59길 28, 지하1층 (신림동)",193580.4755,442312.0587
1083,관악구,피플노래빠,룸살롱,서울특별시 관악구 봉천동 852-6번지 지하1층 ,"서울특별시 관악구 남부순환로 1829-6 (봉천동,지하1층)",195839.4429,442127.7188
1084,관악구,뉴허니 노래바,룸살롱,서울특별시 관악구 신림동 1424-11,"서울특별시 관악구 신림로 356, 지하1층 (신림동)",193715.7209,442661.6006
1085,관악구,소개팅,룸살롱,서울특별시 관악구 봉천동 1599-1,서울특별시 관악구 남부순환로226길 12 (봉천동),195840.3065,441989.6276
1086,관악구,수 노래빠,룸살롱,서울특별시 관악구 신림동 1433-44,서울특별시 관악구 남부순환로 1605 (신림동),193658.2444,442468.3493
1087,관악구,수노래클럽,룸살롱,서울특별시 관악구 봉천동 62-33,"서울특별시 관악구 관악로 208-4, 지하1층 (봉천동)",195914.8946,442324.5982
1088,관악구,궁전(미남클럽),룸살롱,서울특별시 관악구 신림동 1423-4번지 ,서울특별시 관악구 봉천로12길 49 (신림동),193755.1437,442698.2856
1089,관악구,7080놀이터,룸살롱,서울특별시 관악구 남현동 1060-4번지 지하1층 ,"서울특별시 관악구 남부순환로 2082-29, 지하1층 (남현동)",198215.7993,441548.6072
1090,관악구,탈렌트,룸살롱,서울특별시 관악구 신림동 1425-8번지 ,서울특별시 관악구 봉천로12길 42 (신림동),193717.8768,442733.5642
1091,관악구,올리브,룸살롱,서울특별시 관악구 신림동 1431-7번지 ,"서울특별시 관악구 신림로 365, 지하1층 (신림동)",193637.4513,442741.1106
1092,관악구,샴푸,룸살롱,서울특별시 관악구 신림동 1433-36 ,"서울특별시 관악구 신림로63길 9, 지하1층 (신림동)",193649.3132,442481.0076
1093,관악구,금보노래바,카바레,서울특별시 관악구 신림동 538-1번지 ,서울특별시 관악구 난곡로 317 (신림동),192344.1042,442239.7305
1094,관악구,아마존,스텐드바,서울특별시 관악구 신림동 1668-15 지하1층,"서울특별시 관악구 남부순환로 1377 (신림동,지하1층)",191423.9015,442003.4038
1095,관악구,스카이,룸살롱,서울특별시 관악구 신림동 1433-32 ,"서울특별시 관악구 남부순환로 1599-4, 지하1층 (신림동)",193600.1373,442484.5638
1096,관악구,봉봉노래바,기타,서울특별시 관악구 신림동 1424-5번지 ,"서울특별시 관악구 봉천로12길 54, 2층 (신림동)",193736.3726,442685.9714
1097,관악구,잠자리,스텐드바,서울특별시 관악구 신림동 1424-11,"서울특별시 관악구 신림로 356, 3층 (신림동)",193715.7209,442661.6006
1098,관악구,캔디노래빠,룸살롱,서울특별시 관악구 신림동 1433-102 ,"서울특별시 관악구 남부순환로 1591, 지하1층 (신림동)",193506.4536,442451.5389
1099,관악구,딸기,룸살롱,서울특별시 관악구 봉천동 854-2번지 ,"서울특별시 관악구 남부순환로224길 13, 지하1층 (봉천동)",195807.1633,442004.3152
1100,관악구,여자친구노래빠,룸살롱,서울특별시 관악구 신림동 1432-86번지 ,"서울특별시 관악구 신림로65길 10, 지하1층 (신림동)",193643.0631,442562.6269
1101,관악구,도레미노래뱅크,룸살롱,서울특별시 관악구 봉천동 62-3번지 지하 1층 ,"서울특별시 관악구 관악로 206 (봉천동,지하 1층)",195907.7682,442331.4168
1102,관악구,플로우뮤직,룸살롱,서울특별시 관악구 신림동 1639-21번지 ,"서울특별시 관악구 남부순환로 1594-6, 3층 (신림동)",193562.3205,442380.7895
1103,관악구,오케이(OK),룸살롱,서울특별시 관악구 신림동 1433-104,"서울특별시 관악구 남부순환로 1591-6, 지하1층 (신림동)",193497.8948,442467.4522
1104,관악구,미소단란주점,단란주점,서울특별시 관악구 봉천동 871-65번지 ,서울특별시 관악구 봉천로 465 (봉천동),195652.990363019,442258.341734201
1105,관악구,벤틀리룸노래빠,룸살롱,서울특별시 관악구 신림동 1432-77 ,"서울특별시 관악구 신림로 355, 지상2층 (신림동)",193668.1369,442651.5605
1106,관악구,남현1호 JMC(제이엠씨),단란주점,서울특별시 관악구 남현동 1062-15 지하2층 ,"서울특별시 관악구 남현1길 58 (남현동,지하2층)",198209.153690741,441502.542951079
1107,관악구,레이스,단란주점,서울특별시 관악구 신림동 1655-24 ,"서울특별시 관악구 시흥대로 552, 지하1층 (신림동)",191210.078732513,442220.187284292
1108,관악구,오렌지,단란주점,서울특별시 관악구 신림동 527-10 ,"서울특별시 관악구 남부순환로 1483, 지하1층 (신림동)",192437.570727728,442237.51455687
1109,관악구,음악여행 7080라이브,단란주점,서울특별시 관악구 봉천동 851-14번지 ,"서울특별시 관악구 봉천로53길 5, 지하1층 (봉천동)",195869.868959984,442213.482620794
1110,관악구,황제,단란주점,서울특별시 관악구 신림동 1655-27번지 ,"서울특별시 관악구 시흥대로 550, 지하1층 (신림동)",191204.884621244,442196.009448074
1111,관악구,동창생,단란주점,서울특별시 관악구 남현동 602-22번지 ,"서울특별시 관악구 남현3길 74, 지하1층 (남현동)",198220.406233499,441462.348172668
1112,관악구,코리아 싸파리,단란주점,서울특별시 관악구 신림동 564-41 ,서울특별시 관악구 남부순환로 1423 (신림동),191866.245327796,442099.019697469
